epoch,train_loss,train_acc,val_loss,val_top1,val_top5,val_top10,lr,time_s
144,1.072005,68.4488,1.900525,59.9552,81.2507,87.2759,0.00025000,22.9
145,1.068690,68.4393,1.926185,59.6406,81.1443,87.1540,0.00025000,22.7
146,1.073848,68.4735,1.908285,59.9486,81.1532,87.2471,0.00025000,23.2
147,1.064382,68.6454,1.915185,59.5298,80.7831,86.9745,0.00025000,23.0
148,1.057507,68.7525,1.937530,59.3680,80.9072,87.0765,0.00025000,22.8
149,1.063512,68.5934,1.932208,60.2677,81.3460,87.2870,0.00025000,22.8
150,1.063189,68.6156,1.897918,60.1680,81.4390,87.4000,0.00025000,22.9
151,1.052216,68.9428,1.926468,60.2234,81.3349,87.3911,0.00025000,23.1
152,1.061328,68.8419,1.956559,59.3215,80.7743,87.0632,0.00025000,22.6
153,1.051940,68.8248,1.902552,59.8799,81.2396,87.3025,0.00025000,22.6
154,1.053518,68.8077,1.891615,60.3386,81.2551,87.2781,0.00025000,22.7
155,1.053955,68.8819,1.914249,60.0993,81.2307,87.3247,0.00025000,23.2
156,1.046055,69.1298,1.906715,59.7381,81.0003,87.1873,0.00025000,22.7
157,1.042792,69.1413,1.904336,59.5985,81.0335,87.3047,0.00025000,22.7
158,1.037399,69.1203,1.903710,59.8511,81.2042,87.2826,0.00025000,22.6
159,1.039629,69.2116,1.912654,60.2965,81.3571,87.4399,0.00025000,22.4
160,1.033291,69.3397,1.954131,59.8245,80.7942,87.1607,0.00025000,22.3
161,1.032054,69.4184,1.923579,60.0217,81.1621,87.2028,0.00025000,22.5
162,1.024274,69.6384,1.944988,59.9730,81.1554,87.2382,0.00025000,22.5
163,1.027119,69.5141,1.933570,59.8932,81.1089,87.2338,0.00025000,22.5
164,1.025237,69.5243,1.933883,60.1015,81.0712,87.3734,0.00025000,22.5
165,1.023126,69.5598,1.919762,60.1369,81.2928,87.4488,0.00025000,22.7
166,1.020200,69.6815,1.934611,60.3009,81.2197,87.3668,0.00025000,22.7
167,1.019239,69.6644,1.966341,59.9087,81.1621,87.2560,0.00025000,22.4
168,1.021528,69.6752,1.942109,60.6444,81.4014,87.5507,0.00025000,23.0
169,1.009373,69.8730,1.944577,60.3962,81.1532,87.3867,0.00025000,22.5
170,1.013920,69.9409,1.916037,60.4472,81.4523,87.3911,0.00025000,23.1
171,1.003659,70.1311,1.938077,60.4383,81.2640,87.3601,0.00025000,22.9
172,1.005398,70.0639,1.955912,60.3519,81.5986,87.5396,0.00025000,22.5
173,1.002647,69.9866,1.926856,60.4516,81.2241,87.3956,0.00025000,22.5
174,1.005841,70.1115,1.956269,59.8777,81.1266,87.2227,0.00025000,22.6
175,0.997111,70.3284,1.929240,60.4915,81.5033,87.4266,0.00025000,22.9
176,0.994811,70.3049,1.939317,60.8150,81.4546,87.5042,0.00025000,22.6
177,0.998652,70.0519,1.941498,60.2788,81.1709,87.2826,0.00025000,22.6
178,0.986426,70.5757,1.945355,60.4272,81.3726,87.3579,0.00025000,22.6
179,0.987647,70.4450,1.960204,60.2898,81.3903,87.3801,0.00025000,22.6
180,0.987175,70.6074,1.962870,60.2477,81.2795,87.1828,0.00025000,22.3
181,0.994209,70.3195,1.941775,60.0838,80.9670,87.1230,0.00025000,22.3
182,0.979686,70.6911,1.916568,60.4006,81.4324,87.3247,0.00025000,22.3
183,0.988324,70.5484,1.938739,60.5137,81.3460,87.3801,0.00025000,22.6
184,0.983873,70.5890,1.912134,60.8305,81.5742,87.5994,0.00025000,22.3
185,0.980958,70.6086,1.918278,60.5668,81.5343,87.4421,0.00025000,22.7
186,0.984169,70.6733,1.898281,61.1430,81.6606,87.5064,0.00025000,22.4
187,0.973661,71.0392,1.928700,60.6710,81.4102,87.4421,0.00025000,22.3
188,0.982379,70.5941,1.954460,60.0394,81.1909,87.1939,0.00025000,22.4
189,0.966145,71.0088,1.948171,60.5314,81.5498,87.3734,0.00025000,22.3
190,0.977236,70.7621,1.964137,60.0284,81.0956,87.1452,0.00025000,22.5
191,0.968654,71.0107,1.949419,60.5846,81.4479,87.3778,0.00025000,22.3
192,0.976865,70.8769,1.941705,60.3297,81.4745,87.4089,0.00025000,22.2
193,0.967467,71.0031,1.938601,61.0211,81.6075,87.5396,0.00025000,22.4
194,0.967565,71.0779,1.935235,60.8726,81.5498,87.5529,0.00025000,22.5
195,0.959260,71.2624,1.940318,60.8926,81.5166,87.4864,0.00025000,22.6
196,0.959881,71.1515,1.952723,60.5691,81.2972,87.3756,0.00025000,22.2
197,0.966021,70.9676,1.919352,60.8084,81.5875,87.5773,0.00025000,22.3
198,0.958068,71.3005,1.945457,61.0832,81.5432,87.4864,0.00025000,22.1
199,0.961432,71.1838,1.964834,60.5691,81.3460,87.4399,0.00025000,22.1
